Country Name,Country Code,Indicator Name,Indicator Code,Year,WB Value
United States,USA,Merchandise exports by the reporting economy (current US$),TX.VAL.MRCH.WL.CD,1960.0,20535000000.0
United States,USA,Merchandise exports to low- and middle-income economies in Middle East & North Africa (% of total merchandise exports),TX.VAL.MRCH.R4.ZS,1960.0,2.80983686389092
United States,USA,Merchandise exports to low- and middle-income economies outside region (% of total merchandise exports),TX.VAL.MRCH.OR.ZS,1960.0,26.0871682493304
United States,USA,"Population ages 75-79, male (% of male population)",SP.POP.7579.MA.5Y,1960.0,1.46949068463275
United States,USA,Population ages 65 and above (% of total population),SP.POP.65UP.TO.ZS,1960.0,8.8314218831382
United States,USA,"Population ages 65 and above, female (% of female population)",SP.POP.65UP.FE.ZS,1960.0,9.5776478023753
United States,USA,"Population ages 60-64, male (% of male population)",SP.POP.6064.MA.5Y,1960.0,3.87258671018698
United States,USA,"Population ages 50-54, male (% of male population)",SP.POP.5054.MA.5Y,1960.0,5.38447455646297
United States,USA,"Population ages 40-44, male (% of male population)",SP.POP.4044.MA.5Y,1960.0,6.49588368610677
United States,USA,"Population ages 30-34, male (% of male population)",SP.POP.3034.MA.5Y,1960.0,6.67189201910042
United States,USA,"Population ages 20-24, male (% of male population)",SP.POP.2024.MA.5Y,1960.0,6.14382125803199
United States,USA,"Population ages 15-64, male (% of male population)",SP.POP.1564.MA.ZS,1960.0,59.8074901972383
United States,USA,"Population ages 15-19, male (% of male population)",SP.POP.1519.MA.5Y,1960.0,7.51515960954544
United States,USA,"Population ages 05-09, male (% of male population)",SP.POP.0509.MA.5Y,1960.0,10.6769204250688
United States,USA,"Population ages 0-14, male (% of male population)",SP.POP.0014.MA.ZS,1960.0,32.1349039220736
United States,USA,"Population ages 00-04, male (% of male population)",SP.POP.0004.MA.5Y,1960.0,11.8085965098273
United States,USA,GDP per capita (current LCU),NY.GDP.PCAP.CN,1960.0,2999.86487154495
United States,USA,Merchandise exports to low- and middle-income economies in Sub-Saharan Africa (% of total merchandise exports),TX.VAL.MRCH.R6.ZS,1960.0,2.15242269296323
United States,USA,Merchandise exports to low- and middle-income economies in Europe & Central Asia (% of total merchandise exports),TX.VAL.MRCH.R2.ZS,1960.0,0.866812758704651
United States,USA,Merchandise exports (current US$),TX.VAL.MRCH.CD.WT,1960.0,19626000000.0
United States,USA,Merchandise trade (% of GDP),TG.VAL.TOTL.GD.ZS,1960.0,6.64165277942931
United States,USA,Urban population (% of total population),SP.URB.TOTL.IN.ZS,1960.0,69.996
United States,USA,"Population ages 80 and above, male (% of male population)",SP.POP.80UP.MA.5Y,1960.0,1.10466345897032
United States,USA,"Population ages 70-74, male (% of male population)",SP.POP.7074.MA.5Y,1960.0,2.32848800396311
United States,USA,"Population ages 65 and above, male (% of male population)",SP.POP.65UP.MA.ZS,1960.0,8.05760588068812
United States,USA,"Population ages 65-69, male (% of male population)",SP.POP.6569.MA.5Y,1960.0,3.15496373312195
United States,USA,"Population ages 55-59, male (% of male population)",SP.POP.5559.MA.5Y,1960.0,4.6253267222371
United States,USA,"Population ages 45-49, male (% of male population)",SP.POP.4549.MA.5Y,1960.0,6.03314480200736
United States,USA,"Population ages 35-39, male (% of male population)",SP.POP.3539.MA.5Y,1960.0,6.91538135228268
United States,USA,"Population ages 25-29, male (% of male population)",SP.POP.2529.MA.5Y,1960.0,6.14981948127657
United States,USA,Population ages 15-64 (% of total population),SP.POP.1564.TO.ZS,1960.0,59.9034098295236
United States,USA,"Population ages 15-64, female (% of female population)",SP.POP.1564.FE.ZS,1960.0,59.9959094877737
United States,USA,"Population ages 10-14, male (% of male population)",SP.POP.1014.MA.5Y,1960.0,9.64938698717755
United States,USA,Population ages 0-14 (% of total population),SP.POP.0014.TO.ZS,1960.0,31.2651682873382
United States,USA,"Population ages 0-14, female (% of female population)",SP.POP.0014.FE.ZS,1960.0,30.426442709851
United States,USA,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,1960.0,18991.5446025928
United States,USA,"Merchandise exports by the reporting economy, residual (% of total merchandise exports)",TX.VAL.MRCH.RS.ZS,1960.0,7.20233747260774
