Country Name,Country Code,Indicator Name,Indicator Code,Year,WB Value,PM10,coordinates,parameter.name,parameter.units,parameter.displayName,period.label,period.interval
United States,USA,Travel services (% of commercial service exports),TX.VAL.TRVL.ZS.WT,2016.0,25.222682707058,21.0,,pm10,µg/m³,,1year,1 year
United States,USA,Commercial service exports (current US$),TX.VAL.SERV.CD.WT,2016.0,764653000000.0,21.0,,pm10,µg/m³,,1year,1 year
United States,USA,Merchandise exports by the reporting economy (current US$),TX.VAL.MRCH.WL.CD,2016.0,1453700000000.0,21.0,,pm10,µg/m³,,1year,1 year
United States,USA,Merchandise exports to low- and middle-income economies in Middle East & North Africa (% of total merchandise exports),TX.VAL.MRCH.R4.ZS,2016.0,0.874564449817707,21.0,,pm10,µg/m³,,1year,1 year
United States,USA,Merchandise exports to low- and middle-income economies outside region (% of total merchandise exports),TX.VAL.MRCH.OR.ZS,2016.0,38.9625802135241,21.0,,pm10,µg/m³,,1year,1 year
United States,USA,Ores and metals exports (% of merchandise exports),TX.VAL.MMTL.ZS.UN,2016.0,2.60130444554912,21.0,,pm10,µg/m³,,1year,1 year
United States,USA,Fuel exports (% of merchandise exports),TX.VAL.FUEL.ZS.UN,2016.0,7.57865354567164,21.0,,pm10,µg/m³,,1year,1 year
United States,USA,Urban population growth (annual %),SP.URB.GROW,2016.0,0.958268060593122,21.0,,pm10,µg/m³,,1year,1 year
United States,USA,"Population ages 75-79, male (% of male population)",SP.POP.7579.MA.5Y,2016.0,2.19552016933993,21.0,,pm10,µg/m³,,1year,1 year
United States,USA,Population ages 65 and above (% of total population),SP.POP.65UP.TO.ZS,2016.0,14.6147285118987,21.0,,pm10,µg/m³,,1year,1 year
United States,USA,"Population ages 65 and above, female (% of female population)",SP.POP.65UP.FE.ZS,2016.0,16.1261768238838,21.0,,pm10,µg/m³,,1year,1 year
United States,USA,"Population ages 60-64, male (% of male population)",SP.POP.6064.MA.5Y,2016.0,5.78927428904431,21.0,,pm10,µg/m³,,1year,1 year
United States,USA,"Population ages 50-54, male (% of male population)",SP.POP.5054.MA.5Y,2016.0,6.84483876047028,21.0,,pm10,µg/m³,,1year,1 year
United States,USA,"Population ages 40-44, male (% of male population)",SP.POP.4044.MA.5Y,2016.0,6.29693389776909,21.0,,pm10,µg/m³,,1year,1 year
United States,USA,"Population ages 30-34, male (% of male population)",SP.POP.3034.MA.5Y,2016.0,7.15190854349223,21.0,,pm10,µg/m³,,1year,1 year
United States,USA,"Population ages 20-24, male (% of male population)",SP.POP.2024.MA.5Y,2016.0,7.09126376994821,21.0,,pm10,µg/m³,,1year,1 year
United States,USA,"Population ages 15-64, male (% of male population)",SP.POP.1564.MA.ZS,2016.0,67.372855075629,21.0,,pm10,µg/m³,,1year,1 year
United States,USA,"Population ages 15-19, male (% of male population)",SP.POP.1519.MA.5Y,2016.0,6.70818341621217,21.0,,pm10,µg/m³,,1year,1 year
United States,USA,"Population ages 05-09, male (% of male population)",SP.POP.0509.MA.5Y,2016.0,6.64208223897937,21.0,,pm10,µg/m³,,1year,1 year
